UNIVERSITY,COUNTRY,CITATIONS
Harvard University,United States of America,1730326
Stanford University,United States of America,1508578
University of California Berkeley,United States of America,1350026
Massachusetts Institute of Technology,United States of America,1234793
University of California San Diego,United States of America,1234718
University of Cambridge,United Kingdom,1214908
Boston University,United States of America,1203027
University of Chicago,United States of America,1127438
University College London,United Kingdom,1123420
University of Oxford,United Kingdom,1092352
McMaster University,Canada,1080677
Duke University,United States of America,1072992
University of Michigan,United States of America,1071984
Princeton University,United States of America,1065331
Temple University,United States of America,1057789
Columbia University New York,United States of America,1043051
École Polytechnique Fédérale de Lausanne,Switzerland,1037533
University of Oregon,United States of America,991390
Yale University,United States of America,990061
Arizona State University,United States of America,959193
Michigan State University,United States of America,943432
Imperial College London,United Kingdom,914894
University of California Los Angeles UCLA,United States of America,885097
Georgia Institute of Technology,United States of America,870242
Washington University Saint Louis,United States of America,868672
National and Kapodistrian University of Athens,Greece,844945
Carnegie Mellon University,United States of America,839144
New York University,United States of America,834569
King's College London,United Kingdom,825525
Northwestern University,United States of America,808076
University of Massachusetts Amherst,United States of America,793467
University of Pennsylvania,United States of America,785709
Rice University,United States of America,776833
University of North Carolina Chapel Hill,United States of America,774968
Cornell University,United States of America,773925
University of California Irvine,United States of America,761408
University of Alberta,Canada,761255
University of Minnesota System,United States of America,751516
University of Texas Austin,United States of America,751359
(1) Kyungpook (Kyungbook) National University,South Korea,741248
Harvard Medical School,United States of America,732768
Queen Mary University of London,United Kingdom,732347
Johns Hopkins University,United States of America,722133
University of Washington,United States of America,703455
University of Wisconsin Madison,United States of America,691538
University of Rochester,United States of America,686696
Radboud University,Netherlands,678038
University of Toronto,Canada,666093
Tufts University,United States of America,665041
Lund University,Sweden,663964
McGill University,Canada,663712
University of Edinburgh,United Kingdom,660922
Monash University,Australia,660481
Bristol University,United Kingdom,657858
California Institute of Technology Caltech,United States of America,656429
University of British Columbia,Canada,654504
Brown University,United States of America,650994
Vanderbilt University,United States of America,649931
M D Anderson Cancer Center University of Texas,United States of America,642074
University of Southern California,United States of America,632800
University of Texas Southwestern Medical Center at Dallas,United States of America,632569
University of California San Francisco,United States of America,631025
University of Florida,United States of America,625069
University of California Santa Barbara,United States of America,623914
University of Melbourne,Australia,617471
(1) Seoul National University,South Korea,615127
Emory University,United States of America,597192
University of Helsinki,Finland,596995
University of Manchester,United Kingdom,593112
University of California Davis,United States of America,591766
Universität Bern,Switzerland,589224
Indiana University Bloomington,United States of America,585909
Ohio State University,United States of America,584949
University of Queensland,Australia,583239
Baylor College of Medicine,United States of America,577968
Karolinska Institute,Sweden,558951
University of Colorado Boulder,United States of America,556075
National University of Singapore,Singapore,555472
Texas A&M University,United States of America,555450
University of Copenhagen,Denmark,555312
Pennsylvania State University,United States of America,550525
(1) University of Maryland College Park,United States of America,550475
National Technical University of Athens,Greece,547951
Eidgenössische Technische Hochschule ETH Zürich,Switzerland,547835
University of Pittsburgh,United States of America,543562
University of Notre Dame,United States of America,540291
(3) Harvard University Harvard Business School,United States of America,536021
Rutgers The State University of New Jersey,United States of America,533177
Université de Geneve,Switzerland,532076
University of Arizona,United States of America,526234
Università degli Studi di Milano,Italy,525374
Australian National University,Australia,522054
Purdue University,United States of America,517239
University of New South Wales,Australia,516029
University of California Riverside,United States of America,514026
Tokyo Institute of Technology,Japan,513553
University of California Santa Cruz,United States of America,510859
University of Exeter,United Kingdom,504562
(1) Universitat de València,Spain,496994
University of Hong Kong,Hong Kong,496916
University of Colorado Denver,United States of America,495486
