,added_by,apc_fun_url,apc_funding,can_deposit_be_waived,country,country_inclusive,country_names,creators,date,date_made_open,date_of_deposit,datestamp,deposit_of_item,dir,documents,embargo_hum_soc,embargo_sci_tech_med,eprint_status,eprintid,gold_oa_options,iliege_hefce_model,journal_article_version,last_revision,lastmod,locus_of_deposit,making_deposit_open,mandate_content_types,maximal_embargo_waivable,metadata_visibility,open_access_waivable,open_licensing_conditions,policy_adoption,policy_colour,policy_comments,policy_effecive,policy_url,policymaker_name,policymaker_type,policymaker_url,repository_url,research_process_comments,rev_number,rights_holding,rights_retention_waivable,source_of_policy,status_changed,succeeds,title,type,uri,userid,waive_open_access
0,,,not_mentioned,yes,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,on_deposit,other,43380.53876,required,disk0/00/00/19/23,,not_specified,not_specified,archive,1923,not_specified,no,author_final,,43380.53876,institution_repo,required,['manuscript'],not_specified,show,yes,no_req,2017-05,,,,https://digitalcommons.acu.edu/open_access/4/,Abilene Christian University,research_org,http://www.acu.edu,https://digitalcommons.acu.edu/,,5,author_grants,yes,faculty,10/7/2018 12:55,,Abilene Christian University,article,http://roarmap.eprints.org/id/eprint/1923,5855,no
1,EOS,,institutional_funding,no,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,pub_permit,publication,41988.92397,required,disk0/00/00/04/44,,12m,6m,archive,444,permitted,no,author_final,,42209.35469,institution_repo,required,['manuscript'],not_applicable,show,yes,no_req,2/18/2013,green,"College has some Gold OA funding as it offers a claim form for that purpose (viewable only by staff). This is a Harvard-style mandate, though not achieved through faculty vote.",5/1/2013,http://sites.allegheny.edu/scholarlycommunication/acoapolicy/,Allegheny College,research_org,http://allegheny.edu/,https://dspace.allegheny.edu/,,5,author_grants,yes,administrative,12/15/2014 22:10,,Allegheny College,article,http://roarmap.eprints.org/id/eprint/444,1,yes
2,EOS,https://www.amherst.edu/media/view/20316/original/authorcharges.pdf,institutional_funding,yes,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,not_mentioned,publication,41988.92397,required,disk0/00/00/04/45,,not_specified,not_specified,archive,445,reccomended,not_specified,author_final,,42209.35469,institution_repo,required,['manuscript'],not_applicable,show,yes,no_req,3/5/2013,green,"2007 onwards: Funding from the Library will be available to subsidize or pay in full the author charges for all peer reviewed, open access journals.",,https://www.amherst.edu/library/services/facstaff/openaccessresolution,Amherst College,research_org,https://www.amherst.edu/,,"ROARMAP link to IR no longer live. Emailed libdig@amhurst.edu, received reply from  Kelcy Shepherd: ""Our resolution was passed before an institutional repository existed at Amherst, and its development was delayed for a variety of reasons. It will be completed and released soon, as part of our digital collections system. If you check back at the end of summer, you will find a link to the open access collection through our digital collections home page: https://acdc.amherst.edu/.""",5,author_grants,yes,not_specified,12/15/2014 22:10,,Amherst College,article,http://roarmap.eprints.org/id/eprint/445,1,yes
3,EOS,http://libguides.asu.edu/OAMemberships,institutional_funding,not_applicable,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,pub_permit,pub_permit,41988.92397,requested,disk0/00/00/04/46,,not_specified,not_specified,archive,446,permitted,not_specified,author_final,,42209.35469,institution_repo,recommended,['other'],not_applicable,show,not_applicable,req_diff_open,10/20/2010,black,"Policy referes to unspecified ""scholarly work"".  Requires authors to grant institution with CC-BY-NC-ND licence.  Gold funding available through various publisher membership schemes.",,https://lib.asu.edu/librarychannel/2010/10/21/oaweek_commitment/,Arizona State University Libraries,research_org_subunit,https://lib.asu.edu/,http://repository.asu.edu/,,5,author_retains,not_applicable,faculty,12/15/2014 22:10,,Arizona State University Libraries,article,http://roarmap.eprints.org/id/eprint/446,1,not_specified
4,EOS,,researcher_grants,not_specified,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,embargo,acceptance,41988.92398,required,disk0/00/00/04/47,,not_specified,12m,archive,447,not_specified,not_specified,author_final,,42209.35469,suject_repo,required,['manuscript'],not_specified,show,not_applicable,no_req,,green,,12/3/2008,http://www.autismspeaks.org/science/policy-statements/policy-public-access-research-we-fund,Autism Speaks,funder,http://www.autismspeaks.org/,http://www.pubmedcentral.gov/,Funding for APCs comes from grants (email from jnew@autismspeaks.org),5,not_mentioned,not_applicable,not_specified,12/15/2014 22:10,,Autism Speaks,article,http://roarmap.eprints.org/id/eprint/447,1,not_specified
5,,,institutional_funding,not_applicable,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,other,not_specified,42687.52428,requested,disk0/00/00/11/76,,not_specified,not_specified,archive,1176,not_specified,no,not_specified,,42687.52428,institution_repo,required,"['manuscript', 'data']",not_specified,show,no,not_specified,10/6/2016,,,,http://library.bennington.edu/screens/open_access.html,Bennington College,research_org,http://www.bennington.edu/,https://crossettlibrary.dspacedirect.org/handle/11209/8744,,4,author_retains,not_applicable,faculty,11/13/2016 12:34,,Bennington College,article,http://roarmap.eprints.org/id/eprint/1176,2929,no
6,EOS,,additional_funding,no,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,publication,publication,42103.59363,required,disk0/00/00/07/26,,0m,0m,archive,726,reccomended,not_specified,published,,42209.35527,any_repo,required,['manuscript'],no,show,no,req_cc_by,1/1/2015,,"As of January 1, 2015 our Open Access policy will be effective for all new agreements. During a two-year transition period, publishers will be permitted to apply up to a 12 month embargo period on the accessibility of the publication and its underlying data sets. This embargo period will no longer be allowed after January 1, 2017.

Data Policy: Data Underlying Published Research Results Will Be Accessible and Open Immediately.  The foundation will require that data underlying the published research results be immediately accessible and open.  This too is subject to the transition period and a 12-month embargo may be applied.",,http://www.gatesfoundation.org/How-We-Work/General-Information/Open-Access-Policy,Bill & Melinda Gates Foundation,funder,http://www.gatesfoundation.org/,,,7,not_mentioned,not_specified,administrative,4/9/2015 14:14,,Bill & Melinda Gates Foundation,article,http://roarmap.eprints.org/id/eprint/726,65,no
7,EOS,,not_mentioned,no,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,not_mentioned,publication,42093.57355,required,disk0/00/00/07/19,,not_specified,not_specified,archive,719,not_specified,not_specified,author_final,,42209.35522,institution_repo,required,['manuscript'],not_specified,show,yes,req_cc_by_nc,2/11/2015,,,,http://www.bu.edu/library/files/2015/02/Open-Access-Policy-2015.pdf,Boston University,research_org,http://www.bu.edu/,https://open.bu.edu/,,7,author_retains,yes,faculty,3/30/2015 13:45,,Boston University,article,http://roarmap.eprints.org/id/eprint/719,65,yes
8,EOS,,not_mentioned,yes,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,not_mentioned,publication,41988.92398,required,disk0/00/00/04/51,,not_specified,not_specified,archive,451,not_specified,not_specified,author_final,,42209.35469,institution_repo,required,['manuscript'],not_applicable,show,not_applicable,other,12/11/2013,green,"...each Faculty member grants to Bryn Mawr College a nonexclusive, irrevocable, worldwide license to exercise any and all rights under copyright relating to each of her or his scholarly articles",12/11/2013,http://www.brynmawr.edu/openaccess/,Bryn Mawr College,research_org,http://www.brynmawr.edu/,http://repository.brynmawr.edu/,Policy adoption date found from news item on website,5,author_retains,not_applicable,faculty,12/15/2014 22:10,,Bryn Mawr College,article,http://roarmap.eprints.org/id/eprint/451,1,not_specified
9,EOS,,not_mentioned,not_specified,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,not_mentioned,other,41988.92398,required,disk0/00/00/04/52,,not_specified,not_specified,archive,452,not_specified,not_specified,author_final,,42209.35469,institution_repo,required,['manuscript'],not_applicable,show,not_applicable,other,10/4/2011,green,"it is recommended that faculty members provide articles within 30 days after the date of publication;   ""each faculty member grants Bucknell University a nonexclusive, paid-up, worldwide license""",10/4/2011,https://www.bucknell.edu/library-and-information-technology/library/open-access/open-access-publishing-policy.html,Bucknell University,research_org,http://www.bucknell.edu/,http://digitalcommons.bucknell.edu/,,6,author_retains,not_applicable,faculty,12/15/2014 22:10,,Bucknell University,article,http://roarmap.eprints.org/id/eprint/452,318,yes
