journal_title,publisher,society_institution,publisher_country,article_processing_charge,first_oa_year,language,review_process,total_cites,jif
Angle Orthodontist,E.H Angle Education and Research Foundation,Edward H.Angle Society of Orthodontists,United States,No,2004,English,Double blind peer review,6168,1.592
California Agriculture,University of California Agriculture and Natural Resources,University of California Agriculture and Natural Resources,United States,No,1946,English,Double blind peer review,740,1.231
College and Research Libraries,Association of College and Research Libraries,,United States,No,1939,English,Double blind peer review,1121,1.626
Florida Entomologist,Florida Entomological Society,,United States,Yes,1994,English,Blind peer review,2859,1.052
Medicine,Wolters Kluwer,,United States,Yes,2014,English,Peer review,18707,2.028
Fishery Bulletin,National Marine Fisheries Service,,United States,No,1881,English,Double blind peer review,3322,1.216
Environmental Health Perspectives,The National Institute of Environmental Health Sciences (NIEHS),,United States,No,1972,English,Peer review,39741,8.44
Information Technology and Libraries,American Library Association,Library and Information Technology Association,United States,No,2011,English,Double blind peer review,245,0.968
Cultural Anthropology,American Anthropological Association,Society for Cultural Anthropology,United States,No,2014,English,Double blind peer review,2293,2.556
Computational Linguistics,The MIT Press,Association for Computational Linguistics,United States,No,2017,English,Peer review,1864,1.319
Cell Transplantation,SAGE Publishing,,United States,Yes,2017,English,Blind peer review,5255,2.885
Journal of Research of the National Institute of Standards and Technology,The National Institute of Standards and Technology,,United States,No,2012,English,Peer review,1528,0.898
Electronic Journal of Differential Equations,Texas State University,,United States,No,1993,English,Peer review,2538,0.944
Emerging Infectious Diseases,Centers for Disease Control and Prevention,,United States,No,1995,English,Peer review,29657,7.422
Language Learning and Technology,University of Hawaii,,United States,No,1997,English,Double blind peer review,1270,2.113
Optics Express,Optical Society of America (OSA),,United States,Yes,1998,English,Blind peer review,104686,3.356
International Food and Agribusiness Management Review,International Food and Agribusiness Management Association,,United States,Yes,1998,English,Double blind peer review,592,0.545
Evolutionary Psychology,SAGE Publishing,,United States,Yes,2003,English,Double blind peer review,1008,1.978
Journal of Applied Clinical Medical Physics,Wiley,American Association of Physicists in Medicine ,United States,Yes,2000,English,Double blind peer review,2182,1.301
Integrative Cancer Therapies,SAGE Publishing,,United States,Yes,2002,English,Blind peer review,1368,2.657
Journal of Vision,Association for Research in Vision and Ophthalmology,Association for Research in Vision and Ophthalmology,United States,Yes,2001,English,Peer review,8983,2.266
Molecular Imaging,SAGE Publishing,,United States,Yes,2002,English,Blind peer review,1134,1.414
Journal of the Medical Library Association,"University Library System, University of Pittsburgh",Medical Library Association,United States,No,2002,English,Double blind peer review,932,1.541
Journal of Statistical Software,Foundation for Open Access Statistics,,United States,No,1996,English,Peer review,14900,22.737
PLoS Medicine,Public Library of Science (PLoS),,United States,Yes,2004,English,Peer review,24232,11.675
International Journal of Distributed Sensor Networks,SAGE Publishing,,United States,Yes,2011,English,Blind peer review,4254,1.787
PLoS Computational Biology,Public Library of Science (PLoS),,United States,Yes,2005,English,Peer review,23758,3.955
