Journal title,Alternative title,Publisher,Society or institution,Country of publisher,Journal article processing charges (APCs),APC amount,Currency,Journal article submission fee,Submission fee amount,Submission fee currency,First calendar year journal provided online Open Access content,Full text language,Review process,Average number of weeks between submission and publication,Journal license,License attributes,Author holds copyright without restrictions,Author holds publishing rights without restrictions
Angle Orthodontist,,E.H Angle Education and Research Foundation,Edward H.Angle Society of Orthodontists,United States,No,,,,,,2004,English,Double blind peer review,45,Publisher's own license,"Attribution, No Commercial Usage",FALSE,FALSE
California Agriculture,,University of California Agriculture and Natural Resources,University of California Agriculture and Natural Resources,United States,No,,,,,,1946,English,Double blind peer review,20,CC BY-NC-ND,,FALSE,FALSE
College and Research Libraries,,Association of College and Research Libraries,,United States,No,,,,,,1939,English,Double blind peer review,45,CC BY-NC,,TRUE,TRUE
Florida Entomologist,,Florida Entomological Society,,United States,Yes,747,USD - US Dollar,,,,1994,English,Blind peer review,8,CC BY-NC,,TRUE,TRUE
"Greek, Roman, and Byzantine Studies ",,Duke University,,United States,No,,,,,,2004,English,Blind peer review,22,CC BY,,TRUE,TRUE
Medicine,,Wolters Kluwer,,United States,Yes,1200,USD - US Dollar,,,,2014,English,Peer review,3,CC BY-NC-ND,,TRUE,TRUE
North Carolina Libraries,,North Carolina Library Association,,United States,No,,,,,,1942,English,Peer review,12,Publisher's own license,Attribution,FALSE,FALSE
Interamerican Journal of Psychology,Revista Interamericana de Psicología,University of Florida,,United States,No,,,,,,2011,"English, French, Portuguese, Spanish; Castilian",Blind peer review,24,CC BY,,FALSE,FALSE
The Journal of the Rutgers University Library,,Rutgers University Libraries,,United States,No,,,,,,2005,English,Editorial review,20,CC BY-NC,,TRUE,TRUE
The Review of Regional Studies,,Southern Regional Science Association,,United States,No,,,,,,2011,English,Double blind peer review,26,CC BY-NC-ND,,FALSE,FALSE
Fishery Bulletin,,National Marine Fisheries Service,,United States,No,,,,,,1881,English,Double blind peer review,30,public domain,Share Alike,FALSE,TRUE
Environmental Health Perspectives,EHP online,The National Institute of Environmental Health Sciences (NIEHS),,United States,No,,,,,,1972,English,Peer review,24,Publisher's own license,Attribution,FALSE,FALSE
