preferred_name,name_name,name_acronym,name_preferred,name_language,type,repository_status,year_established,preferred_org_name,org_name_name,org_name_acronym,org_name_preferred,preferred_org_unit_name,org_unit_name_name,org_unit_name_acronym,org_unit_name_preferred,date_modified,date_created,date_created_month_year
11th Joint Symposium on Neural Computation,11th Joint Symposium on Neural Computation,,name,en,disciplinary,withdrawn_from_use,,California Institute of Technology,California Institute of Technology,Caltech,name,,,,,3/16/2018 12:02,8/3/2006 10:10,2006-08
"ACHS, Theses and Capstone Projects","American College of Healthcare Sciences, Theses and Capstone Projects","ACHS, Theses and Capstone Projects",acronym,en,institutional,trial,,American College of Healthcare Sciences,American College of Healthcare Sciences,,name,,,,,4/17/2018 12:29,7/21/2015 10:20,2015-07
ARCH,ARCH,,name,en,institutional,fully_functional,,Northwestern University,Northwestern University,,name,,,,,3/19/2019 11:15,3/19/2019 11:13,2019-03
ASU Digital Repository,ASU Digital Repository,,name,en,institutional,fully_functional,,Arizona State University,Arizona State University,,name,Arizona State University Libraries,Arizona State University Libraries,,name,3/21/2018 11:40,11/12/2012 15:33,2012-11
AUrora,Auburn University Scholarly Repository,AUrora,acronym,en,institutional,fully_functional,,Auburn University,Auburn University,,name,,,,,4/17/2018 12:29,3/27/2014 11:00,2014-03
Academic Commons - Stony Brook University,Academic Commons - Stony Brook University,,name,en,institutional,fully_functional,,Stony Brook University,Stony Brook University,,name,,,,,3/20/2019 12:05,3/20/2019 12:03,2019-03
Ackerman Archives,Ackerman Archives,,name,en,institutional,not_accepting_deposits,2002,Rich Ackerman,Rich Ackerman,,name,,,,,3/31/2015 15:18,9/2/2006 9:09,2006-09
Afganistan Digital Library,Afganistan Digital Library,,name,en,disciplinary,fully_functional,,New York University,New York University,NYU,name,New York University Libraries,New York University Libraries,,name,3/16/2018 12:02,1/3/2008 10:10,2008-01
AgEcon Search,AgEcon Search,,name,en,disciplinary,fully_functional,2003,University of Minnesota,University of Minnesota,U of M,name,Department of Applied Economics,Department of Applied Economics,,name,3/30/2017 3:50,8/3/2006 11:11,2006-08
Alaskas Digital Archives,Alaskas Digital Archives,,name,en,aggregating,fully_functional,2007,University of Alaska Fairbanks,University of Alaska Fairbanks,,name,Alaska State Library,Alaska State Library,,name,3/15/2018 4:35,7/20/2007 9:09,2007-07
Alfred University Research and Archives,Alfred University Research and Archives,AURA,name,en,institutional,fully_functional,,Alfred University,Alfred University,,name,,,,,4/17/2018 12:29,12/5/2017 11:15,2017-12
Allegheny College Digital Repository,Allegheny College Digital Repository,,name,en,institutional,fully_functional,,Allegheny College,Allegheny College,,name,,,,,4/17/2018 12:29,9/5/2017 10:55,2017-09
Allen Park Veterans Administration Hospital Archives,Allen Park Veterans Administration Hospital Archives,,name,en,institutional,fully_functional,,Detroit Area Library Network,Detroit Area Library Network,DALNET,name,,,,,3/16/2018 12:02,9/23/2008 14:14,2008-09
American Memory,American Memory,,name,en,disciplinary,fully_functional,1994,Library of Congress,Library of Congress,LC,name,,,,,3/21/2018 11:40,8/3/2006 12:12,2006-08
American Mineralogist Crystal Structure Database,American Mineralogist Crystal Structure Database,,name,en,disciplinary,fully_functional,,Mineralogical Society of America,Mineralogical Society of America,,name,,,,,3/16/2018 12:02,8/3/2006 12:12,2006-08
American Museum of Natural History Scientific Publications,American Museum of Natural History Scientific Publications,AMNH Publications,name,en,institutional,fully_functional,,American Museum of Natural History,American Museum of Natural History,AMNH,name,,,,,3/21/2018 11:40,8/3/2006 12:12,2006-08
Angelo State University Digital Repository,Angelo State University Digital Repository,,name,en,institutional,fully_functional,,Angelo State University,Angelo State University,,name,,,,,2/4/2019 10:18,1/31/2019 10:40,2019-01
Aphasiology Archive,Aphasiology Archive,,name,en,disciplinary,fully_functional,,University of Pittsburgh,University of Pittsburgh,UP,name,Information Sciences Library,Information Sciences Library,,name,3/21/2018 11:40,8/3/2006 12:12,2006-08
April 16 Archive,April 16 Archive,,name,en,disciplinary,fully_functional,,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,Virginia Tech,name,CDDC,Center for Digital Discourse and Culture,CDDC,acronym,3/16/2018 12:02,6/7/2007 11:11,2007-06
Archie,Digital Collections@KUMC,Archie,acronym,en,institutional,fully_functional,,University of Kansas Medical Center,University of Kansas Medical Center,,name,,,,,3/16/2018 12:02,7/16/2009 10:10,2009-07
Archie Digital Repository,Archie Digital Repository,,name,en,institutional,replaced_by_new_url,,University of Kansas Medical Center,University of Kansas Medical Center,,name,,,,,3/16/2018 12:02,2/3/2009 13:13,2009-02
Archive of European Integration,Archive of European Integration,AEI,name,en,disciplinary,fully_functional,2003,University of Pittsburgh,University of Pittsburgh,UP,name,University of Pittsburgh Library System,University of Pittsburgh Library System,UP ULS,name,3/21/2018 11:40,2/15/2006 11:18,2006-02
Archive of Popular American Music,Archive of Popular American Music,APAM,name,en,institutional,fully_functional,,"University of California, Los Angeles","University of California, Los Angeles",,name,UCLA Library,UCLA Library,,name,3/16/2018 12:02,9/2/2006 12:12,2006-09
Archive@NYU,New York University Faculty Digital Archive,Archive@NYU,acronym,en,institutional,fully_functional,2006,New York University,New York University,NYU,name,,,,,3/15/2018 4:26,3/1/2007 12:12,2007-03
Archives @ UMW,University of Mary Washington's Digital Library Repository,Archives @ UMW,acronym,en,institutional,fully_functional,,University of Mary Washington,University of Mary Washington,,name,,,,,3/16/2018 12:02,3/27/2009 14:14,2009-03
Association for the Scientific Study of Consciousness ePrints Archive,Association for the Scientific Study of Consciousness ePrints Archive,ASSC publications,name,en,disciplinary,fully_functional,,California Institute of Technology,California Institute of Technology,Caltech,name,Association for the Scientific Study of Consciousness,Association for the Scientific Study of Consciousness,ASSC,name,3/16/2018 12:02,8/3/2006 15:15,2006-08
Athenaeum@UGA,Athenaeum@UGA,,name,en,institutional,fully_functional,,University of Georgia,University of Georgia,,name,,,,,3/16/2018 12:02,2/7/2012 13:13,2012-02
Auburn University Digital Library,Auburn University Digital Library,,name,en,institutional,withdrawn_from_use,,Auburn University,Auburn University,,name,Auburn University Library,Auburn University Library,,name,3/16/2018 12:02,9/4/2006 10:10,2006-09
BEAR docs,Baylor Electronically Accessible Research Documents,BEAR docs,acronym,en,institutional,fully_functional,,Baylor University,Baylor University,,name,Baylor University Libraries,Baylor University Libraries,,name,3/21/2018 11:41,2/5/2009 12:12,2009-02
BYU ScholarsArchive,BYU ScholarsArchive,,name,en,institutional,fully_functional,,Brigham Young University,Brigham Young University,BYU,name,,,,,7/4/2018 14:05,11/10/2008 9:09,2008-11
Ball State University Digital Media Repository,Ball State University Digital Media Repository,,name,en,institutional,fully_functional,,Ball State University,Ball State University,BSU,name,Ball State University Libraries,Ball State University Libraries,,name,3/21/2018 11:41,8/25/2006 10:10,2006-08
Bard Digital Commons,Bard Digital Commons,,name,en,institutional,fully_functional,,Bard College,Bard College,,name,,,,,4/17/2018 12:29,9/26/2012 16:38,2012-09
Berkeley Electronic Press,Berkeley Electronic Press,Bepress,name,en,aggregating,withdrawn_from_use,1999,Berkeley Electronic Press,Berkeley Electronic Press,Bepress,name,,,,,4/26/2012 16:05,8/23/2006 12:12,2006-08
Berman Jewish Policy Archive @ NYU Wagner,Berman Jewish Policy Archive @ NYU Wagner,,name,en,institutional,fully_functional,,New York University,New York University,NYU,name,Robert F. Wagner Graduate School of Public Service,Robert F. Wagner Graduate School of Public Service,,name,3/16/2018 12:02,3/30/2010 10:10,2010-03
Biodiversity Heritage Library OAI Repository,Biodiversity Heritage Library OAI Repository,BHL,name,en,aggregating,fully_functional,,Biodiversity Heritage Library,Biodiversity Heritage Library,,name,,,,,3/16/2018 12:02,9/7/2011 16:16,2011-09
Biological Magnetic Resonance Data Bank,Biological Magnetic Resonance Data Bank,,name,en,disciplinary,fully_functional,,University of Wisconsin Systems,University of Wisconsin Systems,UW,name,,,,,4/17/2018 12:29,1/27/2014 17:13,2014-01
Black Abolitionist Archive,Black Abolitionist Archive,,name,en,disciplinary,fully_functional,,University of Detroit Mercy,University of Detroit Mercy,,name,,,,,3/16/2018 12:02,9/23/2008 15:15,2008-09
Boise State University - ScholarWorks,Boise State University - ScholarWorks,,name,en,institutional,fully_functional,,Boise State University,Boise State University,,name,,,,,3/21/2018 11:41,7/21/2009 9:09,2009-07
Boston College University Libraries Digital Collections,Boston College University Libraries Digital Collections,,name,en,institutional,fully_functional,,Boston College,Boston College,BC,name,,,,,3/21/2018 11:41,8/26/2006 10:10,2006-08
Botanicus Digital Library,Botanicus Digital Library,,name,en,disciplinary,fully_functional,,Missouri Botanical Garden,Missouri Botanical Garden,,name,,,,,3/16/2018 12:03,8/26/2014 11:41,2014-08
Brandeis University Digital Collections,Brandeis University Digital Collections,,name,en,institutional,fully_functional,,Brandeis University,Brandeis University,,name,,,,,3/16/2018 12:02,1/29/2008 16:16,2008-01
Bridge of the Nineteenth Century,Bridge of the Nineteenth Century,,name,en,disciplinary,trial,,Lehigh University,Lehigh University,,name,Digital Library,Digital Library,,name,3/16/2018 12:02,9/23/2008 11:11,2008-09
Bronco Scholar,Bronco Scholar,,name,en,institutional,fully_functional,2014,"California State Polytechnic University, Pomona","California State Polytechnic University, Pomona",,name,,,,,3/25/2019 11:58,3/25/2019 11:56,2019-03
Brown Digital Repository,Brown Digital Repository,,name,en,institutional,fully_functional,,Brown University,Brown University,,name,Brown University Library,Brown University Library,,name,4/17/2018 12:29,9/6/2016 14:02,2016-09
CAPL,Culturally Authentic Pictorial Lexicon,CAPL,acronym,en,disciplinary,fully_functional,,Washington &amp; Jefferson College,Washington &amp; Jefferson College,,name,,,,,3/16/2018 12:02,1/11/2010 16:16,2010-01
CAUSEweb.org,Consortium for the Advancement of Undergraduate Statistics Education,CAUSEweb.org,acronym,en,disciplinary,fully_functional,,National Science Foundation,National Science Foundation,NSF,name,Consortium for the Advancement of Undergraduate Statistics Education,Consortium for the Advancement of Undergraduate Statistics Education,CAUSE,name,3/16/2018 12:02,8/26/2006 14:14,2006-08
CCU Digital Commons,CCU Digital Commons,,name,en,institutional,fully_functional,,Coastal Carolina University,Coastal Carolina University,,name,,,,,1/31/2019 10:18,1/31/2019 10:15,2019-01
CDC Stacks,CDC Stacks,,name,en,institutional,fully_functional,,Centers for Disease Control and Prevention,Centers for Disease Control and Prevention,CDC,name,,,,,4/17/2018 12:29,3/22/2017 11:01,2017-03
CJH Digital Collections,Center for Jewish History Digital Collections,CJH Digital Collections,acronym,en,disciplinary,fully_functional,,Center for Jewish History,Center for Jewish History,,name,,,,,3/21/2018 11:41,5/9/2007 15:15,2007-05
CONTENTdm Collection - Denison University,CONTENTdm Collection - Denison University,,name,en,institutional,withdrawn_from_use,,Denison University,Denison University,,name,,,,,3/16/2018 12:02,8/26/2006 18:18,2006-08
CORE,CORE,,name,en,institutional,fully_functional,,Wright State University,Wright State University,,name,,,,,3/21/2018 11:41,8/1/2008 13:13,2008-08
CORUS,CORUS,,name,en,disciplinary,technically_malfunctioning,,Indiana Clinical Translational Sciences Institute,Indiana Clinical Translational Sciences Institute,,name,,,,,4/17/2018 12:29,12/6/2013 11:07,2013-12
CSU ePress,CSU ePress,,name,en,institutional,fully_functional,,Columbus State University,Columbus State University,CSU,name,,,,,2/13/2019 16:07,2/13/2019 16:04,2019-02
CSUN ScholarWorks,CSUN ScholarWorks,,name,en,institutional,fully_functional,,California State University Northridge,California State University Northridge,,name,,,,,3/16/2018 12:02,9/11/2013 15:57,2013-09
CSUSB ScholarWorks,CSUSB ScholarWorks,,name,en,institutional,fully_functional,,California State University San Bernardino,California State University San Bernardino,,name,John M. Pfau Library,John M. Pfau Library,,name,4/17/2018 12:29,11/7/2016 15:48,2016-11
CU Scholar Institutional Repository,CU Scholar Institutional Repository,,name,en,institutional,fully_functional,,University of Colorado Boulder,University of Colorado Boulder,,name,,,,,3/16/2018 12:03,9/6/2016 13:45,2016-09
CUNY Academic Works,CUNY Academic Works,,name,en,institutional,fully_functional,,City University of New York,City University of New York,,name,,,,,4/17/2018 12:29,5/13/2015 15:15,2015-05
CalTech Engineering and Science Online,CalTech Engineering and Science Online,,name,en,institutional,fully_functional,,California Institute of Technology,California Institute of Technology,Caltech,name,,,,,3/16/2018 12:02,1/4/2006 14:47,2006-01
"Calhoun, Institutional Archive of the Naval Postgraduate School","Calhoun, Institutional Archive of the Naval Postgraduate School",,name,en,governmental,fully_functional,,Naval Postgraduate School,Naval Postgraduate School,,name,,,,,3/16/2018 12:02,9/2/2013 11:37,2013-09
California State University Channel Islands Institutional Repository,California State University Channel Islands Institutional Repository,CSUCI Institutional Repository,name,en,institutional,fully_functional,,California State University Channel Islands,California State University Channel Islands,CSUCI,name,John Spoor Broome Library,John Spoor Broome Library,,name,3/16/2018 12:02,5/3/2007 16:16,2007-05
Caltech Archives Finding Aids Online,Caltech Archives Finding Aids Online,,name,en,institutional,withdrawn_from_use,,California Institute of Technology,California Institute of Technology,Caltech,name,Caltech Library System,Caltech Library System,,name,3/16/2018 12:02,8/3/2006 15:15,2006-08
Caltech Archives Oral Histories Online,Caltech Archives Oral Histories Online,,name,en,institutional,fully_functional,,California Institute of Technology,California Institute of Technology,Caltech,name,Caltech Library System,Caltech Library System,,name,3/21/2018 11:41,8/3/2006 15:15,2006-08
Caltech Authors,Caltech Authors,,name,en,institutional,fully_functional,,California Institute of Technology,California Institute of Technology,Caltech,name,Caltech Library System,Caltech Library System,,name,3/21/2018 11:41,1/4/2006 14:45,2006-01
Caltech Theses and Dissertations,Caltech Theses and Dissertations,,name,en,institutional,fully_functional,1996,California Institute of Technology,California Institute of Technology,Caltech,name,,,,,3/21/2018 11:41,1/4/2006 14:46,2006-01
CaltechCONF,CaltechCONF,,name,en,institutional,fully_functional,,California Institute of Technology,California Institute of Technology,Caltech,name,,,,,3/21/2018 11:41,5/8/2012 11:52,2012-05
CaltechSOLIDS,CaltechSOLIDS,,name,en,disciplinary,withdrawn_from_use,,California Institute of Technology,California Institute of Technology,Caltech,name,Caltech Solid Mechanics Research Group,Caltech Solid Mechanics Research Group,,name,3/16/2018 12:02,3/11/2008 10:10,2008-03
Cardinal Scholar,Cardinal Scholar,,name,en,institutional,fully_functional,,Ball State University,Ball State University,BSU,name,,,,,3/16/2018 12:02,3/7/2012 10:10,2012-03
Carlyle Letters Online: A Victorian Cultural Reference,Carlyle Letters Online: A Victorian Cultural Reference,,name,en,disciplinary,fully_functional,,Duke University Press,Duke University Press,,name,,,,,3/16/2018 12:02,9/18/2007 14:14,2007-09
Carolina Digital Repository,Carolina Digital Repository,CDR,name,en,institutional,fully_functional,,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,,name,,,,,3/16/2018 12:02,1/6/2011 16:16,2011-01
Carroll Scholars,Carroll Scholars,,name,en,institutional,fully_functional,,Carroll College,Carroll College,,name,,,,,3/18/2019 9:51,3/18/2019 9:45,2019-03
Celebration of Women Writers,Celebration of Women Writers,,name,en,disciplinary,fully_functional,1994,University of Pennsylvania,University of Pennsylvania,Penn,name,Digital Library Projects at the University of Pennsylvania,Digital Library Projects at the University of Pennsylvania,,name,3/21/2018 11:41,8/26/2006 15:15,2006-08
Central Connecticut State University Digital Collections,Central Connecticut State University Digital Collections,CCSU Digital Collections,name,en,institutional,fully_functional,,Central Connecticut State University,Central Connecticut State University,CCSU,name,Elihu Burritt Library,Elihu Burritt Library,,name,3/16/2018 12:02,1/4/2006 14:58,2006-01
Central Florida Memory,Central Florida Memory,,name,en,disciplinary,fully_functional,2002,Institute of Museum and Library Services,Institute of Museum and Library Services,,name,,,,,3/15/2018 4:05,8/26/2006 17:17,2006-08
Central Michigan University's Online Digital Object Repository (CONDOR),Central Michigan University's Online Digital Object Repository (CONDOR),,name,en,institutional,fully_functional,,Central Michigan University,Central Michigan University,CMU,name,,,,,3/16/2018 12:02,4/24/2008 15:15,2008-04
Chapman University Digital Commons,Chapman University Digital Commons,,name,en,institutional,fully_functional,,Chapman University,Chapman University,,name,,,,,4/17/2018 12:29,3/24/2015 11:40,2015-03
Chopin Early Editions,Chopin Early Editions,,name,en,institutional,fully_functional,,University of Chicago,University of Chicago,,name,University of Chicago Library,University of Chicago Library,,name,3/16/2018 12:02,9/23/2008 10:10,2008-09
Claremont Colleges Digital Library,Claremont Colleges Digital Library,CCDL,name,en,institutional,fully_functional,,Claremont University Consortium,Claremont University Consortium,,name,,,,,3/21/2018 11:41,9/15/2008 16:16,2008-09
Cold Spring Harbor Laboratory Institutional Repository,Cold Spring Harbor Laboratory Institutional Repository,CSHL Institutional Repository,name,en,institutional,fully_functional,,Cold Spring Harbor Laboratory,Cold Spring Harbor Laboratory,,name,,,,,4/17/2018 12:29,5/13/2014 10:04,2014-05
